osvdbTitle,IP,status,lastSeenDate,assignedToUser,firstSeenDate,vulnId,formattedRisk
CVE-2015-0412 - Oracle - Java SE - Unspecified Issue,10.506.35.133,opened,2018-08-25 09:22:44.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:24:35.0,140546,High
CVE-2015-0412 - Oracle - Java SE - Unspecified Issue,10.506.35.143,opened,2018-08-25 22:59:19.0, jaroslaw.dobiech@comarch.pl,2018-05-19 23:38:29.0,140546,High
SNMP Responds to Any Community Name,10.506.35.68,opened,2018-08-25 09:38:31.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:17:06.0,95247,High
CVE-2015-0412 - Oracle - Java SE - Unspecified Issue,10.506.35.69,opened,2018-08-25 19:04:42.0, jaroslaw.dobiech@comarch.pl,2018-07-21 18:45:24.0,140546,High
SNMP Responds to Any Community Name,10.506.35.71,opened,2018-08-25 09:38:13.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:17:06.0,95247,High
Python HTTP_PROXY environment variable HTTP traffic redirect,10.506.35.72,opened,2018-08-25 20:43:29.0, jaroslaw.dobiech@comarch.pl,2017-09-09 09:47:35.0,174979,High
CVE-2015-0412 - Oracle - Java SE - Unspecified Issue,10.506.35.73,opened,2018-08-25 16:53:04.0, jaroslaw.dobiech@comarch.pl,2017-01-08 05:31:15.0,140546,High
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.74,opened,2018-08-25 09:38:30.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:10:03.0,49220,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.75,opened,2018-08-25 09:42:06.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:19:16.0,101865,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.76,opened,2018-08-25 09:16:14.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:09:43.0,101865,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.82,opened,2018-08-25 09:16:14.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:09:43.0,49220,Low
ICMP netmask request response,10.506.35.83,opened,2018-08-25 19:02:52.0, jaroslaw.dobiech@comarch.pl,2018-07-21 18:44:44.0,15571,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.84,opened,2018-08-25 21:38:54.0, jaroslaw.dobiech@comarch.pl,2017-01-08 10:42:17.0,49220,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.85,opened,2018-08-25 09:41:32.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:08:42.0,101865,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.86,opened,2018-08-25 21:35:07.0, jaroslaw.dobiech@comarch.pl,2017-01-08 06:39:07.0,49220,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.87,opened,2018-08-25 18:46:21.0, jaroslaw.dobiech@comarch.pl,2017-01-08 10:39:51.0,101865,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.133,opened,2018-08-25 09:12:32.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:12:03.0,49220,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.143,opened,2018-08-25 09:16:52.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:10:03.0,101865,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.68,opened,2018-08-25 21:45:53.0, jaroslaw.dobiech@comarch.pl,2017-01-08 06:42:12.0,101865,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.69,opened,2018-08-25 18:46:21.0, jaroslaw.dobiech@comarch.pl,2017-01-08 10:39:51.0,49220,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.71,opened,2018-08-25 21:45:53.0, jaroslaw.dobiech@comarch.pl,2017-01-08 06:42:12.0,49220,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.72,opened,2018-08-25 09:12:32.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:12:03.0,101865,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.73,opened,2018-08-25 09:41:32.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:08:42.0,49220,Low
ICMP netmask request response,10.506.35.74,opened,2018-08-25 19:04:42.0, jaroslaw.dobiech@comarch.pl,2018-07-21 18:45:24.0,15571,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.75,opened,2018-08-25 21:35:07.0, jaroslaw.dobiech@comarch.pl,2017-01-08 06:39:07.0,101865,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.76,opened,2018-08-25 09:44:29.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:17:06.0,101865,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.82,opened,2018-08-25 09:41:46.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:12:23.0,49220,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.83,opened,2018-08-25 09:41:46.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:12:23.0,101865,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.84,opened,2018-08-25 09:43:35.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:14:04.0,101865,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.133,opened,2018-08-25 09:43:35.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:14:04.0,49220,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.143,opened,2018-08-25 09:44:29.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:17:06.0,49220,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.68,opened,2018-08-25 09:38:31.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:17:06.0,49220,Low
CVE-2018-1000170 - Jenkins - Jenkins - Low,10.506.35.69,opened,2018-08-25 19:19:35.0, jaroslaw.dobiech@comarch.pl,2018-06-30 21:09:01.0,210918,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.71,opened,2018-08-25 09:20:50.0, jaroslaw.dobiech@comarch.pl,2017-01-08 10:32:54.0,101865,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.72,opened,2018-08-25 09:20:50.0, jaroslaw.dobiech@comarch.pl,2017-01-08 10:32:54.0,49220,Low
SNMP_Set used Public Community Name to change system information,10.506.35.73,opened,2018-08-25 09:38:31.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:17:06.0,142,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.74,opened,2018-08-25 09:38:31.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:17:06.0,101865,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.75,opened,2018-08-25 09:38:30.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:10:03.0,101865,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.76,opened,2018-08-25 09:42:06.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:19:16.0,49220,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.82,opened,2018-08-25 09:09:13.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:15:44.0,49220,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.83,opened,2018-08-25 09:09:13.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:15:44.0,101865,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.84,opened,2018-08-25 21:38:54.0, jaroslaw.dobiech@comarch.pl,2017-01-08 10:42:17.0,101865,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.85,opened,2018-08-25 09:13:16.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:10:43.0,101865,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.86,opened,2018-08-25 09:41:42.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:19:03.0,49220,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.87,opened,2018-08-25 09:15:35.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:13:03.0,49220,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.133,opened,2018-08-25 09:15:35.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:13:03.0,101865,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.143,opened,2018-08-25 09:18:12.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:14:24.0,101865,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.68,opened,2018-08-25 09:18:12.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:14:24.0,49220,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.69,opened,2018-08-25 09:48:44.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:17:35.0,49220,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.71,opened,2018-08-25 09:48:44.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:17:35.0,101865,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.72,opened,2018-08-25 09:42:28.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:17:06.0,101865,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.73,opened,2018-08-25 09:42:28.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:17:06.0,49220,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.74,opened,2018-08-25 09:52:33.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:18:22.0,101865,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.75,opened,2018-08-25 09:52:33.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:18:22.0,49220,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.76,opened,2018-08-25 09:41:42.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:19:03.0,101865,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.82,opened,2018-08-25 09:41:22.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:08:22.0,101865,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.83,opened,2018-08-25 09:41:22.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:08:22.0,49220,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.84,opened,2018-08-25 09:48:32.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:17:06.0,49220,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.133,opened,2018-08-25 09:48:32.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:17:06.0,101865,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.143,opened,2018-08-25 09:49:35.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:18:03.0,101865,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.68,opened,2018-08-25 09:49:35.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:18:03.0,49220,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.69,opened,2018-08-25 09:38:13.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:17:06.0,49220,Low
CVE-2007-1835 - Apache - Tomcat - Information Disclosure Issue,10.506.35.71,opened,2018-08-25 19:04:42.0, jaroslaw.dobiech@comarch.pl,2018-07-21 18:45:24.0,99974,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.72,opened,2018-08-25 09:38:13.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:17:06.0,101865,Low
SNMP_Set used Public Community Name to change system information,10.506.35.73,opened,2018-08-25 09:38:13.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:17:06.0,142,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.74,opened,2018-08-25 09:13:16.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:10:43.0,49220,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.75,opened,2018-08-25 22:05:26.0, jaroslaw.dobiech@comarch.pl,2017-01-08 06:08:30.0,49220,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.76,opened,2018-08-25 17:13:47.0, jaroslaw.dobiech@comarch.pl,2017-01-08 10:10:15.0,101865,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.82,opened,2018-08-25 09:21:02.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:17:34.0,49220,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.83,opened,2018-08-25 09:21:02.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:17:34.0,101865,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.84,opened,2018-08-25 19:03:15.0, jaroslaw.dobiech@comarch.pl,2017-01-08 10:47:47.0,101865,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.85,opened,2018-08-25 19:03:15.0, jaroslaw.dobiech@comarch.pl,2017-01-08 10:47:47.0,49220,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.86,opened,2018-08-25 09:42:22.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:12:43.0,49220,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.87,opened,2018-08-25 09:42:22.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:12:43.0,101865,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.133,opened,2018-08-25 17:13:47.0, jaroslaw.dobiech@comarch.pl,2017-01-08 10:10:15.0,49220,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.143,opened,2018-08-25 18:40:04.0, jaroslaw.dobiech@comarch.pl,2017-01-08 10:59:05.0,101865,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.68,opened,2018-08-25 22:05:26.0, jaroslaw.dobiech@comarch.pl,2017-01-08 06:08:30.0,101865,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.69,opened,2018-08-25 18:40:04.0, jaroslaw.dobiech@comarch.pl,2017-01-08 10:59:05.0,49220,Low
CVE-2017-4925 - VMware - Multiple Products - Denial of Service Issue,10.506.35.71,opened,2018-08-25 20:43:29.0, jaroslaw.dobiech@comarch.pl,2018-02-24 21:55:28.0,201018,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.72,opened,2018-08-25 20:43:29.0, jaroslaw.dobiech@comarch.pl,2017-07-08 08:53:23.0,101865,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.73,opened,2018-08-25 09:15:13.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:17:05.0,101865,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.74,opened,2018-08-25 09:15:13.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:17:05.0,49220,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.75,opened,2018-08-25 20:39:50.0, jaroslaw.dobiech@comarch.pl,2017-01-08 05:33:12.0,101865,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.76,opened,2018-08-25 09:43:35.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:13:43.0,49220,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.82,opened,2018-08-25 09:21:09.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:21:33.0,49220,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.83,opened,2018-08-25 09:09:41.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:16:04.0,49220,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.84,opened,2018-08-25 20:39:50.0, jaroslaw.dobiech@comarch.pl,2017-01-08 05:33:12.0,49220,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.133,opened,2018-08-25 09:09:41.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:16:04.0,101865,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.143,opened,2018-08-25 09:49:07.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:17:06.0,49220,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.68,opened,2018-08-25 09:49:07.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:17:06.0,101865,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.69,opened,2018-08-25 09:37:25.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:15:04.0,101865,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.71,opened,2018-08-25 09:37:25.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:15:04.0,49220,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.72,opened,2018-08-25 09:22:44.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:24:35.0,49220,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.73,opened,2018-08-25 09:22:44.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:24:35.0,101865,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.74,opened,2018-08-25 09:43:35.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:13:43.0,101865,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.75,opened,2018-08-25 09:16:52.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:10:03.0,49220,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.76,opened,2018-08-25 09:21:09.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:21:33.0,101865,Low
OpenSSH and multiple SSH Tectia products CBC mode information disclosure,10.506.35.82,opened,2018-08-25 09:15:35.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:13:23.0,49220,Low
CVE-2008-5161 - SSH - Multiple Products - Information Disclosure Issue,10.506.35.83,opened,2018-08-25 09:15:35.0, jaroslaw.dobiech@comarch.pl,2017-01-08 07:13:23.0,101865,Low
