osvdbTitle,IP,status,lastSeenDate,ports,assetId,firstSeenDate,vulnId,formattedRisk
Python HTTP_PROXY environment variable HTTP traffic redirect,10.506.35.133,opened,2018-09-29 20:45:04.0,,,2017-09-09 09:47:35.0,174979,High
SNMP Responds to Any Community Name,10.506.35.143,opened,2018-09-29 09:18:30.0,161,,2017-01-08 07:17:06.0,95247,High
CVE-2015-0412 - Oracle - Java SE - Unspecified Issue,10.506.35.68,opened,2018-09-29 18:45:57.0,4421,443,5666,9000,,2017-01-08 05:31:15.0,140546,High
SNMP - Various Devices - Default Password - (Community Names),10.506.35.69,opened,2018-09-29 09:06:24.0,161,,2018-08-25 09:05:24.0,95007,High
MS Windows NT  Insecure SNMP Community Name and Address Restrictions,10.506.35.71,opened,2018-09-29 09:06:24.0,161,,2018-08-25 09:05:24.0,95219,High
SNMP Responds to Any Community Name,10.506.35.72,opened,2018-09-29 09:06:24.0,161,,2018-08-25 09:05:24.0,95247,High
Atmel - SNMP Community String Vulnerability,10.506.35.73,opened,2018-09-29 09:06:24.0,161,,2018-08-25 09:05:24.0,16755,High
SNMP Responds to Any Community Name,10.506.35.74,opened,2018-09-29 09:18:08.0,161,,2017-01-08 07:17:06.0,95247,High
SNMP Responds to Any Community Name,10.506.35.75,opened,2018-09-29 09:05:43.0,161,,2018-08-25 09:05:24.0,95247,High
CVE-2015-0412 - Oracle - Java SE - Unspecified Issue,10.506.35.76,opened,2018-09-29 22:52:03.0,5989,,2018-05-19 23:38:29.0,140546,High
CVE-2015-0412 - Oracle - Java SE - Unspecified Issue,10.506.35.82,opened,2018-09-29 20:13:54.0,5666,,2018-07-21 18:45:24.0,140546,High
Atmel - SNMP Community String Vulnerability,10.506.35.83,opened,2018-09-29 09:05:43.0,161,,2018-08-25 09:05:24.0,16755,High
CVE-1999-0517 - SNMP - Hardcoded Credentials Issue,10.506.35.84,opened,2018-09-29 09:05:43.0,161,,2018-08-25 09:05:24.0,97101,High
MS Windows NT  Insecure SNMP Community Name and Address Restrictions,10.506.35.85,opened,2018-09-29 09:05:43.0,161,,2018-08-25 09:05:24.0,95219,High
CVE-1999-0517 - SNMP - Hardcoded Credentials Issue,10.506.35.86,opened,2018-09-29 09:06:24.0,161,,2018-08-25 09:05:24.0,97101,High
SNMP - Various Devices - Default Password - (Community Names),10.506.35.87,opened,2018-09-29 09:05:43.0,161,,2018-08-25 09:05:24.0,95007,High
CVE-2015-0412 - Oracle - Java SE - Unspecified Issue,10.506.35.133,opened,2018-09-29 09:20:35.0,443,,2017-01-08 07:24:35.0,140546,High
CVE-2005-1794 - Microsoft - Windows - Remote Desktop Protocol Server Private Key Disclosure Issue,10.506.35.143,opened,2018-09-29 18:42:51.0,3389,,2017-01-07 17:35:35.0,8076,Medium
CVE-2012-2532 - MS12-073 - Microsoft - IIS - Information Disclosure Issue,10.506.35.68,opened,2018-09-29 18:42:51.0,21,,2017-01-07 17:35:35.0,88648,Medium
CVE-2004-2761 - MD5 - Hash-collision Issue,10.506.35.69,opened,2018-09-29 20:01:35.0,1433,3389,,2017-01-21 13:39:15.0,100902,Medium
IETF - RFC 3279 X.509 Certificate - MD5 Signature Collision Issue,10.506.35.71,opened,2018-09-29 20:01:35.0,1433,3389,,2017-01-21 13:39:15.0,101808,Medium
RFC 1321 MD5 algorithm weak security,10.506.35.72,opened,2018-09-29 20:01:35.0,1433,3389,,2017-01-21 13:39:15.0,44305,Medium
CVE-2005-1794 - Microsoft - Windows - Remote Desktop Protocol Server Private Key Disclosure Issue,10.506.35.73,opened,2018-09-29 20:01:35.0,3389,,2017-01-07 18:35:47.0,8076,Medium
RFC 1321 MD5 algorithm weak security,10.506.35.74,opened,2018-09-29 19:26:44.0,443,5989,,2017-01-21 14:23:35.0,44305,Medium
IETF - RFC 3279 X.509 Certificate - MD5 Signature Collision Issue,10.506.35.75,opened,2018-09-29 19:26:44.0,443,5989,,2017-01-21 14:23:35.0,101808,Medium
CVE-2004-2761 - MD5 - Hash-collision Issue,10.506.35.76,opened,2018-09-29 19:26:44.0,443,5989,,2017-01-21 14:23:35.0,100902,Medium
RFC 1321 MD5 algorithm weak security,10.506.35.82,opened,2018-09-29 19:23:18.0,443,5989,,2017-01-21 14:23:15.0,44305,Medium
IETF - RFC 3279 X.509 Certificate - MD5 Signature Collision Issue,10.506.35.83,opened,2018-09-29 19:23:18.0,443,5989,,2017-01-21 14:23:15.0,101808,Medium
CVE-2004-2761 - MD5 - Hash-collision Issue,10.506.35.84,opened,2018-09-29 19:23:18.0,443,5989,,2017-01-21 14:23:15.0,100902,Medium
RFC 1321 MD5 algorithm weak security,10.506.35.133,opened,2018-09-29 19:21:21.0,443,5989,,2017-01-21 14:19:20.0,44305,Medium
IETF - RFC 3279 X.509 Certificate - MD5 Signature Collision Issue,10.506.35.143,opened,2018-09-29 19:21:21.0,443,5989,,2017-01-21 14:19:20.0,101808,Medium
CVE-2004-2761 - MD5 - Hash-collision Issue,10.506.35.68,opened,2018-09-29 19:21:21.0,443,5989,,2017-01-21 14:19:20.0,100902,Medium
CVE-2005-1794 - Microsoft - Windows - Remote Desktop Protocol Server Private Key Disclosure Issue,10.506.35.69,opened,2018-09-29 18:21:14.0,3389,,2017-01-07 17:49:21.0,8076,Medium
CVE-2004-2761 - MD5 - Hash-collision Issue,10.506.35.71,opened,2018-09-29 19:49:05.0,443,5989,,2017-01-21 14:56:12.0,100902,Medium
RFC 1321 MD5 algorithm weak security,10.506.35.72,opened,2018-09-29 19:49:05.0,443,5989,,2017-01-21 14:56:12.0,44305,Medium
IETF - RFC 3279 X.509 Certificate - MD5 Signature Collision Issue,10.506.35.73,opened,2018-09-29 19:49:05.0,443,5989,,2017-01-21 14:56:12.0,101808,Medium
RFC 1321 MD5 algorithm weak security,10.506.35.74,opened,2018-09-29 19:21:42.0,443,5989,,2017-01-21 14:13:43.0,44305,Medium
